Chrom	Source	Feature	Start	End	Score	Strand	Frame	Attribute	Gene
NC_060941.1	BestRefSeq	exon	64559696	64559788	.	+	.	ID=exon-NM_203351.3-11;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64560451	64560642	.	+	.	ID=exon-NM_203351.3-12;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64561171	64561319	.	+	.	ID=exon-NM_203351.3-13;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64562009	64562140	.	+	.	ID=exon-NM_203351.3-14;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64562640	64562769	.	+	.	ID=exon-NM_203351.3-15;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64563149	64563326	.	+	.	ID=exon-NM_203351.3-16;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64564456	64567209	.	+	.	ID=exon-NM_203351.3-17;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64503288	64503409	.	+	.	ID=exon-NM_001363768.2-2;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64505316	64505408	.	+	.	ID=exon-NM_001363768.2-3;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64516630	64516670	.	+	.	ID=exon-NM_001363768.2-4;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64523149	64523248	.	+	.	ID=exon-NM_001363768.2-5;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64528701	64528814	.	+	.	ID=exon-NM_001363768.2-6;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64537844	64537964	.	+	.	ID=exon-NM_001363768.2-7;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64552672	64552805	.	+	.	ID=exon-NM_001363768.2-8;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64556421	64556482	.	+	.	ID=exon-NM_001363768.2-9;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64559434	64559501	.	+	.	ID=exon-NM_001363768.2-10;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64559696	64559788	.	+	.	ID=exon-NM_001363768.2-11;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64560451	64560642	.	+	.	ID=exon-NM_001363768.2-12;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64561171	64561319	.	+	.	ID=exon-NM_001363768.2-13;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64562009	64562140	.	+	.	ID=exon-NM_001363768.2-14;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64562640	64562769	.	+	.	ID=exon-NM_001363768.2-15;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64563149	64563326	.	+	.	ID=exon-NM_001363768.2-16;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64564456	64567209	.	+	.	ID=exon-NM_001363768.2-17;Parent=rna-NM_001363768.2;Dbxref=GeneID:4215,Genbank:NM_001363768.2,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001363768.2;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 4;transcript_id=NM_001363768.2	MAP3K3
NC_060941.1	BestRefSeq	exon	64503288	64503409	.	+	.	ID=exon-NM_002401.5-2;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64516630	64516670	.	+	.	ID=exon-NM_002401.5-3;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64523149	64523248	.	+	.	ID=exon-NM_002401.5-4;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64528701	64528814	.	+	.	ID=exon-NM_002401.5-5;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64537844	64537964	.	+	.	ID=exon-NM_002401.5-6;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64552672	64552805	.	+	.	ID=exon-NM_002401.5-7;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64556421	64556494	.	+	.	ID=exon-NM_002401.5-8;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64559434	64559501	.	+	.	ID=exon-NM_002401.5-9;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64559696	64559788	.	+	.	ID=exon-NM_002401.5-10;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64560451	64560642	.	+	.	ID=exon-NM_002401.5-11;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64561171	64561319	.	+	.	ID=exon-NM_002401.5-12;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64562009	64562140	.	+	.	ID=exon-NM_002401.5-13;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64562640	64562769	.	+	.	ID=exon-NM_002401.5-14;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64563149	64563326	.	+	.	ID=exon-NM_002401.5-15;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
NC_060941.1	BestRefSeq	exon	64564456	64567209	.	+	.	ID=exon-NM_002401.5-16;Parent=rna-NM_002401.5;Dbxref=GeneID:4215,Genbank:NM_002401.5,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_002401.5;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 2;tag=RefSeq Select;transcript_id=NM_002401.5	MAP3K3
